run_date,run_time,model,slot,spy_pct,qqq_pct,vix,qualify_count,rout_theme
2026-07-15,01:55,gpt-5,pre-open ad-hoc,0.25,0.48,16.28,2,none
2026-07-15,08:16,gpt-5,post-open,0.17,-0.65,16.20,24,AI hardware profit-taking
2026-07-16,08:09,gpt-5,post-open,-0.21,-1.11,15.87,21,AI and chip valuation selloff
2026-07-17,08:04,gpt-5,post-open,-0.86,-1.72,18.72,12,chip and momentum unwind
2026-07-20,08:09,gpt-5,post-open,0.09,0.45,18.22,1,Oracle AI debt concerns
2026-07-21,08:06,gpt-5,post-open,0.56,1.48,17.33,4,earnings guidance resets
2026-07-22,08:05,gpt-5,post-open,-0.01,-0.17,17.23,5,enterprise software AI fears
2026-07-23,08:00,gpt-5,post-open,-1.21,-1.92,19.16,16,oil shock and AI cash burn
2026-07-24,08:12,gpt-5,post-open,0.35,-0.65,18.31,18,AI hardware momentum unwind
2026-07-27,08:12,gpt-5,post-open,0.06,-0.44,19.31,21,China chip-equipment breakthrough
2026-07-28,08:05,gpt-5,post-open,-0.10,-1.40,18.30,46,China chip competition and AI financing fears
2026-07-29,08:16,gpt-5,post-open,-0.76,-1.06,19.94,27,earnings resets and oil shock
2026-07-29,08:22,gpt-5,post-open,-0.87,-1.28,19.81,40,earnings resets and oil shock
2026-07-30,07:58,gpt-5,post-open,0.94,2.80,18.58,63,software AI disruption and earnings resets
2026-07-31,08:01,gpt-5,post-open,0.07,0.25,17.09,16,earnings guidance and high yields
2026-08-03,08:02,gpt-5,post-open,1.06,1.27,15.71,5,isolated earnings and analyst resets
2026-08-04,08:03,gpt-5,post-open,1.21,2.31,15.97,6,earnings resets amid market rally
2026-08-05,07:58,gpt-5,post-open,0.27,-0.04,17.09,15,earnings resets and SpaceX disruption
